,Sales Package,Model Number,Model Name,Type,Portable,Bluetooth,Memory Card Slot,Configuration,Power Source,Frequency Response,Impedance,Color,Wired/Wireless,Wall Mountable Satellite,Built-in Fm Radio,Outdoor Usage,Headphone Jack,Driver Type,Compatible Devices,Connector Type,USB Ports,Amplifier,Other Audio Features,Chassis Material,Controls,Remote Control Support,Power Input,Other System Requirements,Satellite Weight,Width,Height,Depth,Warranty Service Type,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Power Output (RMS),Display Type,Signal to Noise Ratio,Sensitivity,Memory Card Supported,Charging Time,Battery,Battery Capacity,Bluetooth Range,Driver Size,Coverage Pattern,Cable Length,Subwoofer,Distortion,Technology Used,Other Features,Audio Codec,Maximum Output RMS Per Satellite,Maximum SPL,Tweeter Support,Maximum Output RMS Subwoofer,Maximum Output RMS Center Satellite,Separation,Subwoofer Width,Subwoofer Weight,Subwoofer Height,Subwoofer Depth,Tweeter Diameter,International Warranty,Satellite Width,Satellite Height,Satellite Depth,Center Satellite Width,Center Satellite Height,Center Satellite Depth,Center Satellite Weight
554,1,Blaster single bluetooth tower with Eco mic & karaoke system,HW-Q600A/XL Dolby Atmos,Tower Speaker,,Yes,Yes,Stereo,USB,35Hz - 20KHz,(Subwoofer) 4 Ohms (Satellite) 8Ohms,Black,Wired,No,Yes,Yes,Yes,"1 Woofer, 4 Subwoofer","Laptop / Desktop, Mobile, Home TV",Speaker Wire,1 USB Ports,no,"Box Contents: 2 wired speakers with wired volume controller & USB power input and 3.5mm audio Jack output, 1 year Warranty unless physically damaged, 2 speaker units with 3W RMS each provide a powerful output total of 6W RMS, Each Speaker Unit driver is 50mm in diameter, Frequency Response: 60hz-20khz, Power input is DC 5V via a USB port, Audio Output is through a 3.5mm audio jack, 2.0 USB powered multimedia speaker system for laptops, desktops & smartphones, Wired volume control, Enhanced low frequency effect, Powerful bass & Superior listening experience","Yes, ABS Plastic Chassis","Volume, Play, Pause, Track Control",Yes,USB,"Despite its small size, the speaker delivers crystal-clear audio thanks to its powerful 16W audio driver. Its thin, lightweight design makes it easy to take with you wherever you go.",,16 cm,60 cm,30 cm,1 Year carry into Service center,1 Year Manufacturer Warranty,Any Manufacturing Defects,Any Accessories or Physical Damages will not Covered in Warranty,12 Months,300 W,LED,68 dB,85 dB,Yes,5 hr,Use Time 5 hr,1200 mAh,10 m,3.5,50,0.2 m,2,0.1%,Wireless Bluetooth,"70W RMS Pulsating Sound
Woofer Size 10.16 cm (4 in)
7.62 cm (3 in) x 4 Satellite Speakers
Seamless Connectivity: BT v5.1/AUX, USB, TF Card, FM
Dynamic LED Display
Take the Control with Remote",AST 311,,90 dB,,,,40,150 mm,,200 mm,240 mm,,,,,,,,,
555,"1N User Manual, 1N Power Cord, 1N Remote Control, 2N Battery",HW-Q600A/XL,"SRS-XB100 Portable Super-Compact,Waterproof, 16Hrs Batt, Extra Bass,Built-In Mic",Soundbar,,Yes,Yes,Stereo Channel,"Rechargeable, USB",( Subwoofer ) 40Hz ~ 200Hz (Satellite) 200Hz ~ 20KHz,4 Ohms,Black,Wireless,No,Yes,Yes,Yes,2 x Satellites,ALL SMARTPHONE SUPPORTED,BLuetooth,1 USB Ports,1,"Bluetooth All Mobiles, Laptop, tab","No, Wooden & Plastic Chassis",Volume,Wireless,5,Before first use charge atlest 20 mints for long Battery,,98 cm,5.8 cm,10.5 cm,"""Customer needs to call the customer care on-1800-5320-266 to register the complaints and take the product to the nearby Authorised Service centre and get the service done. Check the Nearest T-series Service centre - http://ced.tseries.com/service-point.php""",1 Year Domestic Warranty from the Date of Purchase,Defect Arising Out of Faulty or Defective Material or Workmanship. Parts and Labour Costs are Covered,Warranty does not cover damage caused to the product due to improper installation by customer; normal wear and tear caused due to use of product.,0 Year,5 W,CX-005,70 dB,75 dB,Yes,1 hr,Use Time 6 hr,1200 mAh,10 m,"Soundbar: 4 inch, Subwoofer: 8 inch",50,1.5 m,1,1%,Wireless,"Built-in microphone,High-quality sound,Switch between audio and phone and take hands-free calls over Bluetooth., clear sound, noise cancelation, high bass, Long Life Battery, ULTRA SOUND Speaker has a Cool appearance, Football shape design, fashionable and sporty,Support USB, Support TF card, FM Radio function, Bluetooth functionality built-in microphone can answer the phone,stereo input out put., Enjoy True, Full Room Sound From Our Resonance Technology And Tri-Band Sound Frequency. The Speaker Captures The High Highs And The Deepest Lows, Giving You Rich, Full Surround Sound, The Ultimate, High-Powered Portable Bluetooth Speaker With Powerful Stereo Sound And A Power Bank All In One Package. A Built-In Noise And Echo-Cancelling Speakerphone Gives",Mp3,,90 dB,,,,40,,,240 mm,240 mm,,,,,,,,,
556,"1 x Bluetooth Speaker, 1 x Type-C Charging Cable, 1 x User Manual",G Shape Wireless Bluetooth Speaker Multicolor Changing LED Light,"SRS-XB100 Portable Super-Compact,Waterproof, 16Hrs Batt, Extra Bass,Built-In Mic",Smart Speaker,,Yes,No,3,AC,60Hz-20Khz,16,White,Wireless,No,Yes,No,Yes,Driver Type,"LED TV, DVD, LED",BLUETOOTH & AUX,1 USB Ports,yes,"The Speaker is easy to carry, fitting neatly of your It's perfect for staying in or going out.","Wood (Subwoofer), Plastic (Satelite) Chassis","ON/OFF, Call Buttorn, Next/Back",Wireless,5,Before first use charge atlest 20 mints for long Battery,,15 cm,5 cm,15 cm,Intex Customer Care Helpline No - 0120-4895555,1 Year Manufacturer Warranty,Manufacturing Defects,"Any Type of Damage. However if Required, Intex will Repair the Same with Chargeable Basis",1 Year,10 W,NA,85 dB,100 dB,Yes,1 hr,Use Time 6 hr,1100 mAh,10 m,52,HARD ABS PLASTIC,10 m,4,Distortion Cancellation,BLUETOOTH,"Bluetooth 5.0 is universally compatible with all Bluetooth-enabled devices. Connects easily to all smartphones, laptops, tablets etc.",TG 113,,,,,,40,,,,,,,,,,,,,
557,"1 Speaker, Charging Cable","A006 Dual Dj Power boost High DJ Bass With Part Light Design Compatible Device Mobile/Laptop/Computer/Table SD Card & Aux Supported for Partying, Walking out, Camping, Hiking, Biking, or just lounging around the house 100% GOOD QUALITY|3D sound| Splashproof| Water resistant|Ultra Deep Baas Stereo sound quality Speaker | mini Home theatre|wireless Speaker| Long hour battery Life to good havy DJ box","SRS-XE300 24Hr Playtime, IP67 Rating, Portable",Mobile/Tablet Speaker,,Yes,Yes,3 Channel,AC Adapter,300,80,Red,Wired & Wireless,Yes,Yes,No,Yes,1 Subwoofer,Mobile Phone,"AUX, Bluetooth",1 USB Ports,YES,"Boom bass,portable speaker for all your needs, Powerpact stereo audio sound","Yes, Plastic Chassis","BUTTON TO DECREASE VOLUME, PRESS + BUTTON TO PLAY NEXT SONG, PRESS - BUTTON TO PLAY PREVIOUS, PLAY/PAUSE :- LONG PRESS + BUTTON TO INCREASE VOLUME",Wired,5,Before first use charge atlest 20 mints for long Battery,,7.5 cm,16 cm,5 cm,Technician Visit,"1 Year Service Centre, Walk in Warranty, For warranty claims, contact us at inquiry@artis.in or call us on 1800 123 8195 (Mon-Sat: 10am-6pm)",Speaker,"Physical damage, Burn out",1 Year,10 W,,75 dB,42 dB,YES,1.3 hr,"LI-ION, Use Time 12 hr",2200 mAh,10 m,32,70 degree,0.5 m,2,52,Wireless,"DC 5V slot: use the standard Micro USB V8 charging cable for power charging, TF slot, it can decode and play MP3 format audio when put TF card into the slot, it can decode and play MP3 format audio when put the USB card into the slot, use the mini 3.5 head input through outside devices, When play music, (USB card/TF card/Bluetooth/line in), press short for play/pause, In FM mode, press short to search station automatically, press again to stop searching, Under Bluetooth mode with mobile paired, when call coming,, press short to answer a call hands-free, press again to hand up, press twice to ring up a call",AST 311,,,,,,60db,,,,,,,,,,,,,
558,"1 Speaker, USB Type C Cable, Strap Belt, Warranty Card",SRS-XB100,TR-12K (Party Speaker) Bluetooth Trolley Party Speaker with 2 Mic,Mobile/Tablet Speaker,,5.0,Yes,3.1.2,USB,40 Hz - 20 KHz,16,Grey,Wireless,No,Yes,Yes,Yes,"Android, IOS","Desktop pc, Mobile, Tablet, Laptop",AUX,1 USB Ports,yes,"Advanced Bluetooth decode chip, support to connected with the all Bluetooth equipment., Voice calling-number, Automatically re-connect, automatically into pairing mode when failed, Low power prompt, Redial function, Volume synchronization, the default volume is 50% of the maximum, Power synchronization, Reading TF card and U disk, Support line in audio input, With FM radio",No,"PREV/NEXT, PLAY/PAUSE, CALL/DECLINE, ON/OFF","As this is a Bluetooth speaker, it can wirelessly connect to your mobile phones and other Bluetooth enabled devices. The paring process is extremely user friendly and quick., WIRELESS",4,"Portable Wireless Bluetooth Speaker with DJ Light USB/Micro SD Card/AUX Multimedia Speaker System Super Bass, HD Sound, Perfect Bass, Bluetooth speakers",,7.6 cm,9.5 cm,7.6 cm,"Service Centre, Walk in Warranty,For warranty claims, contact us at inquiry@artis.in or call us on 1800 123 8195 (Mon-Sat: 10am-6pm)",7 DAYS REPLACEMNET WARRANTY,MANUFACTURE DEFECT,PHYSICAL DAMAGE,1 Year,10 W,,89 dB,90 dB,SD card,1 hr,"Rechargeable, Use Time 19 hr",1800 mAh,12 m,10mm,,,1,,Wireless,"Powerful Sound, Rugged Design, IPX6 Water-resistant",SBC,,,,,,,,,,,,,,,,,,,
559,"1 Speaker, USB Type C Cable, Strap Belt, Warranty Card",SRS-XB100,2650 Pro FMUB 4.1 Multimedia Speaker,Mobile/Tablet Speaker,,Yes,Yes,3.1.2 Channel,BATTERY,80Hz-180Khz,5,Blue,Wireless,Yes,Yes,Yes,Yes,IOS,"ALL SMARTPHONE, COMPUTER, ALL BLUETOOTH DEVICE, LAPTOP, TABLET",WIRELESS,1 USB Ports,1,DOLBY DIGITAL AUDIO: Have an Ultimate movie experience at your home with embedded dolby digital system that comes with 2.1 Channel. with dolby digital delivers powerful sound that enhances any movie experience.,Yes,"on / off, Vol(+)/ Vol(-), previous / next","LONG PRESS - BUTTON TO DECREASE VOLUME, MODE, Power switch, PRESS + BUTTON TO PLAY NEXT SONG, PRESS - BUTTON TO PLAY PREVIOUS SOUND, PLAY/PAUSE, When play music, (TF card/Line in/USB card/Bluetooth), short press to switch model, LONG PRESS + BUTTON TO INCREASE VOLUME",5,,,7.6 cm,9.5 cm,7.6 cm,7 DAYS REPLACEMNET WARRANTY,1 Year Manufacturer Warranty,Manufacturing Defects,Physical Damage,1 Year,20 W,,85 dB,110 dB,yes,1 hr,Use Time 6 hr,1200 mAh,10 m,52,,,1,,,"DC 5V slot: use the standard Micro USB V8 charging cable for power charging, TF slot: it can decode and play MP3 format audio when put TF card into the slot, USB slot: it can decode and play MP3 format audio when put the USB card into the slot, Aux line in slot: use the mini 3.5 head input through outside devices, When play music, (USB card/TF card/Bluetooth/line in), press short for play/pause, In FM mode, press short to search station automatically, press again to stop searching Under Bluetooth mode with mobile paired, when call coming, press short to answer a call hands-free, press again to hand up, press twice to ring up a call",,,,,,,,,,,,,,,,,,,,
560,"1 Speaker, Operating Instruction Manual, USB Cable",SRS-XE300,Mini,Mobile/Tablet Speaker,,Yes,Yes,2.0,AC Adapter,300,4,Blue,Wireless,Yes,No,Yes,Yes,DYNAMIC,"LED, DVD, Laptop, Mobile, Teblet",,1 USB Ports,transistor ic,,"Yes, METAL, PLASTIC Chassis",ON/OF,,USB CHARGING,,,10.5 cm,23.8 cm,11.9 cm,"Carry-in, In Case of Technical Defects, the Customer can Contact the Customer Service Number 18004256396",7 days,MANUFACTURE DEFECT,Physical Damages,1 Year,60 W,,85 dB,,YES,1 hr,"Rechargable, Use Time 6 hr",1200 mAh,10 m,32,,,2,,,"Optimum Bluetooth experience V4.2 – Activate your day with good vibes made easy with Bluetooth V4.2, Exercise your right to good music with the highest of authority ; Bluetooth Version: 4.2V ; Wireless range: 10M ; Power Output (RMS): 5W ; Frequency Response: 70 HZ-18KHZ ; Impedance: 4 Ohms ; Charging Time: 4 hrs, 2. HD explosive sound – Blast your surroundings to bits with the boAt Stone Grenade XL, Set into the sound and prime your senses for Nirvana. Set with a 1.75” full-range 5W driver, get ready to experience the sound, 3. Aligned easy access control – Experience audio the right way with the integrated controls system making all your moves fluid, pause, play, change, and take a call with ease, 4. Sharp fabric coated IPX 6 finish – A compact build finished with rounded edges and even a strap made for easy carrying, IPX 6 water resistant as well as shockproof, this Grenade won’t explode until you need it to, 5. AUX/SD/Bluetooth compatible – Switch to battery saving mode via multiple modes of device to speaker connectivity, pick whichever door you like to access entry Heaven., Party Speakers, Mini Speakers, home theater, Long Life Battery Backup",,,,,,,,,,,,,,,,,,,,
561,"1 N Speaker, 1 N Charging Cable, 1 N AUX Cable",M12VP (PORTABLE HOME TV SOUNDBAR) Dynamic Thunder Sound 2200mAh Battery,A0005 Bass Splashproof Wireless Bluetooth Speaker with USB | Mic | Aux | SD Card,Soundbar,,Yes,Yes,2.0 Channel,AC Adapter,2000HZ,16,Multicolor,Wired & Wireless,Yes,No,Yes,Yes,IOS,"MIVI, BOSE, BOAT,SAMSUNG,SONY, JBL ,Ubon,zebronics. SOUND BAR SPEAKER, ?Tablets, Television, Laptops, Desktops, ALL SMARTPHONE, ?Tablets, Television, Laptops, Desktops, ALL SMARTPHONE",,1 USB Ports,no,,yes Chassis,"PREV/NEXT, PLAY/PAUSE, CALL/DECLINE, ON/OFF",,,,,38.5 cm,6 cm,6.5 cm,7 days,NA,Manufacturing Defects,Physical Damages,1 Year,40 W,,90 dB,,SD Card,2 hr,Use Time 6 hr,1200 mAh,10 m,32,,,1,,,,,,,,,,,,,,,,,,,,,,,
562,1,Excellent Very Mini Boost 022 Bluetooth Speaker for car/laptop/home Top Brand,"HTL8162 with Wireless Subwoofer, HDMI ARC, Touch Controls",Party Speaker,,5.2,No,Stereo,"This speaker has a soundbar design. It is portable as well. Also, it features an LED display. You can take of its comp act shape and easily place it on the table near your bed or at any convenient spot.",300,16,Multicolor,Wireless,Yes,Yes,Yes,Yes,IOS,ALL SMARTPHONE SUPPORTED,,1 USB Ports,,,Yes Chassis,"Volume, Play, Pause, Track Change",,,,,4 cm,7 cm,4 cm,In Case Any Query Please Mail Us at info@imaginemarketingindia.com or Call on +912269181920,NA,NA,NA,3 Months,10 W,,89 dB,,SD card,2 hr,"RECHARGEABLE, Use Time 8 hr",1200 mAh,10 m,dynamic,,,1,,,,,,,,,,,,,,,,,,,,,,,
563,"1 MINI SPEAKER, 1 CHARGING CABLE","Super Small Dj Bluetooth Speaker 016 High Sound Quality TF Card , USB Support","L31 Powerful Bass Bletooth Speaker Mini Soundbar,19Hrs Playback,Stereo Soundbar",Party Speaker,,Yes,No,Stereo Channel,Battery,20Hz-20000Hz,32,Black,Wireless,Yes,Yes,Yes,No,IOS,Compatible with all types of devices including Android and ios,,1 USB Ports,,,PLASTIC Chassis,"PRESS + BUTTON TO PLAY NEXT SONG, LONG PRESS + BUTTON TO INCREASE VOLUME, PRESS - BUTTON TO PLAY PREVIOUS SOUND, LONG PRESS - BUTTON TO DECREASE VOLUME, Power switch, PLAY/PAUSE, MODE, When play music, (TF card/Line in/USB card/Bluetooth), short press to switch model",,,,,4 cm,8 cm,5 cm,NA,NA,NA,NA,1 Year,70 W,,85 dB,,yes,2 hr,"Rechargeable Li-ion, Use Time 5 hr",1200 mAh,10 m,,,,1,,,,,,,,,,,,,,,,,,,,,,,
564,"Subwoofer	1 unit, sound4 units, Remote control	1 unit, Input cable	1 unit, User manual",ZEB-FEEL 4,"Blitz 1500 Pro with Dynamic RGB LEDs, EQ Modes & Master Remote Control",Home Theatre,,3,Yes,Stereo,BATTERY,300,16,Black,Wired,Yes,Yes,Yes,Yes,dynamic,All Bluetooth Devices,,1 USB Ports,,,"Yes, yes Chassis","N TO DECREASE VOLUME, MODE, Power switch, PRESS + BUTTON TO PLAY NEXT SONG, PRESS - BUTTON TO PLAY PREVIOUS SOUND, PLAY/PAUSE, When play music, (TF card/Line in/USB card/Bluetooth), short press to switch model, LONG PRESS + BUTTON TO INCREASE VOLUME",,,,,29 cm,31 cm,28.6 cm,NA,NA,NA,NA,1 Year,780 W,,,,yes,1 hr,"Rechargable, Use Time 6 hr",1200 mAh,10 m,,,,1,,,,,,,,,,,,,,,,,,,,,,,
565,"1 Main unit , 2 Mic, 1 Remote, User Manual, Warranty card",TR-12K,Best Portable Mini Bluetooth Speaker Ultra High Bass Power Boost Sound Rechargeable Multimedia Speaker 10 W Bluetooth Speaker Greenat6,PA Speaker,,Yes,No,Stereo Channel,Battery,100HZ15000,,Black,Wired & Wireless,,Yes,Yes,Yes,,ALL SMARTPHONE MOBILE TABLET,,1 USB Ports,,,yes Chassis,,,,,,32 cm,52 cm,33 cm,NA,7 days replacement warranty,NA,NA,12 Months,5 W,,,,yes,4 hrs,"Lithium-ion, Use Time 24 hrs",1200 mAh,10 m,,,,2,,,,,,,,,,,,,,,,,,,,,,,
566,1,Smart LED Music Light Bulb with Bluetooth Remote Controller,New Portable Bluetooth Speaker Box mini Home theater DJ Multimedia Music System,Gaming Speaker,,5.0,Yes,Stereo,Battery,,,Multicolor,Wired & Wireless,,Yes,Yes,,,"laptop, mobile, tablet, gaming system",,1 USB Ports,,,"Yes, plastic, wood mdf Chassis",,,,,,8 cm,6 cm,6 cm,NA,1 Year Manufacturing Warranty,manufacture warranty,PHISICAL DAMAGE,1 Year,160 W,,,,Micro SD,5 hrs,Rechargeable,800 mAh,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Main Unit(::)Satellite Speaker(::)User's Manual(::)Audio Cable (::)Remote Handset,4.1 2650 Pro FMUB 70 W Multimedia Speaker,TG-113 Ultra 3D Dynamic Thunder Sound With High Bass Wireless Portable Speaker Orangek1,Home Theatre,,Yes,Yes,Stereo Channel,220v,,,Black,Wireless,,Yes,Yes,,,Compatible with all types of devices including Android and ios,,1 USB Ports,,,yes Chassis,,,,,,18.2 cm,32.6 cm,44 cm,"Customer needs to Call, Customer Care Toll Free Number ( 1800-266-6409 ) or mail ( Customer.care@iball.co.in )to register any Complaint on the Product.",,Manufacturing Defects,Physically Damage,1 Year,60 W,,,,,2 hr,"Rechargeable Li-ion, Use Time 16 hrs",,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,"1 Soundbar, 2 Speakers, 1 Subwoofer, Power Cord, Remote Control, 2 AAA Batteries, Wall Mount Bracket, Quick Start Guide, Warranty Card",TAB8967,"2021 Top Selling Ultra Premium Bluetooth Speaker - Loud HD Surround Sound, Wireless Pairing, 6H Battery, Splashproof with Rich Bass Greyat4",Soundbar,,5.0,Yes,2.0,USB,,,Black,Wired,,Yes,Yes,,,"pen drive, SD CARD, Bluetooth, SD CARD READER, FM, AUX",,-1 USB Ports,,,"No, yes Chassis",,,,,,56 cm,28 cm,118 cm,replacement,,,,,160 W,,,,,1 hr,Use Time 6 hr,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,1 x 2.0 USB Speaker,Mini 2.0 USB Multimedia Speakers,super king,Laptop/Desktop Speaker,,Yes,Yes,2.0 Channel,USB Chargeable,,,Blue,Wireless,,Yes,,,,All Bluetooth Devices,,1 USB Ports,,,,,,,,,8 cm,8 cm,8 cm,Off-site,,,,,20 W,,,,,,"RECHARGEABLE, Use Time 6 hr",,10.5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,1 Speaker,A00-5 10 Watt 4.1 Channel Wireless Bluetooth Multimedia Speaker (Multicolor),"SRS-XE300 24Hr Playtime, IP67 Rating, Portable",Mobile/Tablet Speaker,,4.2 + EDR,Yes,Stereo,"BATTERY, 5V DC ADAPTER",,,Multicolor,Wired & Wireless,,Yes,,,,"Any bluetooth enable device can support like laptops, mobile, tablet and more",,1 USB Ports,,,,,,,,,6 cm,8 cm,12 cm,,,,,,16 W,,,,,,Li-Polymer,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,"1 Subwoofer, Soundbar, Power Cord, Quick Start Guide, Warranty Card",HTL8162/94,E-91 TV & HOME SOUNDBAR Original Quality Perfect Mega Bass Bluetooth Speaker,Soundbar,,Yes,Yes,Stereo Channel,BATTERY,,,Black,Wired,,Yes,,,,"Mobile, Tablet",,1 USB Ports,,,,,,,,,96 cm,7.2 cm,9.8 cm,,,,,,80 W,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,1 Speaker,WV-4141 MINI Home Theatre with ECHO MIC SYSTEM Woofer BT/FM/MP3/USB/SD-Card/AUX,"Buzz 5W Portable Wireless Speaker with TWS, Micro SD Slot, Type-C Charging",Home Theatre,,Yes,Yes,Mono,Battery,,,Red,Wireless,,Yes,,,,"Smartphone, Tablet",,1 USB Ports,,,,,,,,,20 cm,23 cm,15 cm,,,,,,20 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,"1 Speaker, Power Cord, Warranty Card, QSG, Safety Sheet",TAX5206,,Party Speaker,,Yes,Yes,Mono Channel,,,,Black,Wireless,,Yes,,,,,,,,,,,,,,,30.9 cm,70 cm,32.2 cm,,,,,,10 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,"HomePod Mini, 20W Power Adapter, Documentation",MJ2E3HN/A,,Smart Speaker,,5.1,Yes,Mono,,,,Multicolor,Wireless,,,,,,,,,,,,,,,,,9.79 cm,8.43 cm,4 cm,,,,,,10 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,"1 Speaker And USB Cable, Description Chart","BOOM BOX Speaker Playback 19hrs Bluetooth v5.0 with USB,SD card Slot",,Laptop/Desktop Speaker,,Yes,No,Mono Channel,,,,Black,Wireless,,,,,,,,,,,,,,,,,10 cm,40 cm,37 cm,,,,,,10 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,"1 Subwoofer, Remote Control, User Manual, Warranty Card, 4 Satellite Speakers",Blitz 1500 pro,,Home Theatre,,5,Yes,4.1,,,,Black,Wired & Wireless,,,,,,,,,,,,,,,,,15.5 cm,28.9 cm,24.5 cm,,,,,,10 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,1,Super 027 High Bass Bluetooth Speaker Sound Quality TF Card / AUX-IN Support,,Party Speaker,,No,Yes,4.1 Channel,,,,Multicolor,Wired & Wireless,,,,,,,,,,,,,,,,,4 cm,8 cm,5 cm,,,,,,10 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,1 speaker,Portable Mini Bluetooth Speaker Ultra High Bass Power Boost Sound Rechargeable Multimedia Speaker 10 W Bluetooth Speaker Greenat6,,Mobile/Tablet Speaker,,Yes,Yes,Mono,,,,Green,Wired & Wireless,,,,,,,,,,,,,,,,,17 cm,7 cm,7 cm,,,,,,50 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,"1 Speaker, 1 Charging cable",New Portable Bluetooth Speaker Box mini Home theater DJ Multimedia Music System,,Mobile/Tablet Speaker,,6.1.1  withCX-005,,Mono Channel,,,,Black,Wired & Wireless,,,,,,,,,,,,,,,,,5 cm,8 cm,8 cm,,,,,,15 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,1 SPEAKER,Portable Stereo Speaker Rich Bass Loud Sound Built-in Mic All Smartphone Device,,Mobile/Tablet Speaker,,Yes,,12 Way Speaker,,,,Black,Wired & Wireless,,,,,,,,,,,,,,,,,10 cm,10 cm,10 cm,,,,,,16 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,"1 speaker, charging cable, user manual",New Arriving Power boost high sound blast with ultra 3d bass New arrival tg113 waterproof/splashproof mini dynamite thunder sound Wireless Bluetooth Speaker for car/laptop/home audio & gaming With usb/fm/tf card & line in aux supported 10 Bluetooth Speaker Orangek1,,Mobile/Tablet Speaker,,5,,12 Way Speaker Channel,,,,Orange,Wired & Wireless,,,,,,,,,,,,,,,,,6 cm,16 cm,6 cm,,,,,,10 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,1 speaker,"Ultra Premium Bluetooth Speaker - Loud HD Surround Sound, Wireless Pairing, 6H Battery, Splashproof with Rich Bass Greyat4",,Mobile/Tablet Speaker,,Yes,,4.1,,,,Grey,Wireless,,,,,,,,,,,,,,,,,17 cm,7 cm,7 cm,,,,,,10 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,"one centre woofer, five speakers, remote, antenna lead, aux lead",Super King,,Home Theatre,,Yes,,4.1 Channel,,,,Black,Wired & Wireless,,,,,,,,,,,,,,,,,36 cm,42 cm,31 cm,,,,,,5 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,"1 Speaker, Operating Instruction Manual, USB Cable",SRS-XE300,,Mobile/Tablet Speaker,,"5  withSBC, A2DP, AVRCP",,5.1.2,,,,Grey,Wireless,,,,,,,,,,,,,,,,,10.5 cm,23.8 cm,11.9 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,"1 X Speaker, 1 X charging cable.","113 Mini Bluetooth Portable Home Speaker Compatible with TV, USB, TF Card and AUX",,Mobile/Tablet Speaker,,Yes,,5.1.2 Channel,,,,Black,Wireless,,,,,,,,,,,,,,,,,7 cm,16 cm,7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,1 Speaker,Musi Rock,,Mobile/Tablet Speaker,,5.0,,2.0,,,,Black,Wireless,,,,,,,,,,,,,,,,,22 cm,4.3 cm,10 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,"1 MOBILE STAND SPEAKER, 1 BLUETOOTH SPEAKER",Ultra 3d sound blast With rich premium Super deep Bass Splashproof/Waterproof NEW ARRIVAL Wireless Bluetooth Speaker with TF CARD/FM/USB DRIVE & AUX SUPPORTED IDEAL FOR CAR/LAPTOP/HOME AUDIO/GAMING SPEAKER/indoor/outdoor mini sub-woofer BKR1,,Mobile/Tablet Speaker,,Yes,,2.0 Channel,,,,Black,,,,,,,,,,,,,,,,,,8 cm,16 cm,8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,SPEAKER,E-91 Bluetooth speakers TV SOUNDBAR Original Quality Perfect Sound bar Mega Bass,,Laptop/Desktop Speaker,,5.0  withM-21,,Stereo,,,,Black,,,,,,,,,,,,,,,,,,28 cm,6 cm,6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,"Speaker 1N, Charging Cable 1N, User Manual 1N",POR-1430,,Mobile/Tablet Speaker,,Yes,,Stereo Channel,,,,Black,,,,,,,,,,,,,,,,,,16 cm,13 cm,6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,,,,,,Yes,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,,,,,,5.0,,2.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,,,,,,4.2,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,,,,,,5.0,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
